# cm メッセージ日本語カタログ（英語原文<TAB>日本語訳、1行1メッセージ）
# 文中の改行・タブは \n・\t で表記する。# 始まりの行はコメント
# ビルド時に埋め込まれ、実行時に --lang=ja / CM_LANG=ja / .cmconfig.yml language: ja で使用される
\n=== Check complete ===\n	\n=== チェック完了 ===\n
error[SV007]: inline assembly (__asm__) is not available on the SV target	エラー[SV007]: インラインアセンブリ（__asm__）はSVターゲットで使用できません
error[SV007]: unsupported expression on the SV target (MirRvalue::	エラー[SV007]: SVターゲットで非対応の式です（MirRvalue::
error[SV007]: unsupported statement on the SV target (MirStatement kind=	エラー[SV007]: SVターゲットで非対応の文です（MirStatement kind=
errors: 	エラー: 
exit must be used as exit(exit_code)	exit は exit(終了コード) の形式で使用します
failed to instantiate generic type '{0}'	ジェネリック型 '{0}' のインスタンス化に失敗しました
failed: 	失敗: 
fast cache restore failed: 	高速キャッシュ復元失敗: 
field name	フィールド名
file I/O	ファイルI/O
files to check: 	チェック対象: 
files: 	ファイル数: 
formatted: 	整形箇所: 
formatting: 	フォーマット対象: 
function	関数
function '	関数 '
function '{0}' is not defined	関数 '{0}' は定義されていません
function name	関数名
generated code line count exceeded the limit	生成コード行数が制限を超過しました
generated code size exceeded the limit	生成コードサイズが制限を超過しました
global constant name	グローバル定数名
global variable name	グローバル変数名
hint: calloc/realloc/void* are not available on the JS target. 	ヒント: calloc/realloc/void* はJSターゲットでは利用できません。
hint: clock-driven tests require //! platform: sv at the top of the file\n	ヒント: クロック駆動のテストはファイル先頭に //! platform: sv を指定してください\n
hint: generate .js with 'cm compile --target=js' and run it with any JS runtime\n	ヒント: cm compile --target=js で生成した .js を任意のJS実行系で実行してください\n
hint: macOS: brew install icarus-verilog / Ubuntu: sudo apt-get install iverilog\n	ヒント: macOS: brew install icarus-verilog / Ubuntu: sudo apt-get install iverilog\n
hint: specify the JS target with --target=js	ヒント: --target=js オプションでJSターゲットを指定してください
hint: use 'cm test' (//! platform: sv) for simulation\n	ヒント: シミュレーション実行は cm test（//! platform: sv）を使用してください\n
hint: use --target=	ヒント: --target=
identifiers conflict with SystemVerilog reserved words: 	SystemVerilogの予約語と衝突する識別子があります: 
implicit conversion from '{0}' to '{1}'	'{0}' から '{1}' への暗黙的な型変換
import '{0}' is unused	import '{0}' は使用されていません
imported modules:\n	インポートされたモジュール:\n
inconsistent brace style (K&R style recommended)	波括弧のスタイルが一貫していません（K&Rスタイル推奨）
inconsistent indentation	インデントが一貫していません
interface name	インターフェース名
invalid --funroll-loops value: 	無効な--funroll-loopsの値: 
invalid --lang value (en or ja): 	無効な--langの値（en または ja）: 
invalid bit-slice range (hi >= lo >= 0, width <= 64)	ビットスライス範囲が不正です（hi >= lo >= 0、幅は64以下）
invalid literal: '{0}'	無効なリテラル: '{0}'
invalid maximum output size: 	無効な最大出力サイズ: 
invalid pointer arithmetic: '{0}'	無効なポインタ演算: '{0}'
invalid type argument: '{0}' cannot be used for type parameter '{1}'	無効な型引数: '{0}' は型パラメータ '{1}' に使用できません
line is too long ({0} > {1} characters)	行が長すぎます（{0} > {1}文字）
literal '{0}' is out of range for type '{1}'	リテラル '{0}' は型 '{1}' の範囲を超えています
literal types require a string, integer, or floating-point literal	リテラル型には文字列、整数、または浮動小数点リテラルが必要です
loop-invariant computation '{0}' inside the loop	ループ内で不変な計算 '{0}' があります
malloc/free are replaced by GC. 	malloc/freeはGCベースで代替されます。
match expression is not exhaustive: '{0}' is not covered	match式が網羅的ではありません: '{0}' がカバーされていません
match guards must be of type bool	matchガードはbool型である必要があります
maximum output size must be in the range 1-1024 GB	最大出力サイズは1-1024GBの範囲で指定してください
method name	メソッド名
missing newline at end of file	ファイル末尾に改行がありません
module name	モジュール名
multiple input files are not allowed	複数の入力ファイルは指定できません
name '{0}' does not follow the {1} naming convention	名前 '{0}' は {1} 命名規則に従っていません
needs formatting: 	要整形: 
networking	ネットワーク
newest:   	最新:     
non-synthesizable types detected on the SV target	SVターゲットで非合成型が検出されました
none	なし
null pointer dereference	nullポインタの参照解除です
oldest:   	最古:     
on the JS target, 	JSターゲットでは 
optimization complete\n\n	最適化完了\n\n
optimization level must be in the range 0-3	最適化レベルは0-3の範囲で指定してください
parameter '{0}' is unused	パラメータ '{0}' は使用されていません
parameter name	パラメータ名
parser stalled while parsing match patterns	match式のパターン解析でパーサが停滞しました
part-select width must be an integer literal from 1 to 64 (v0.16.0 limitation)	パートセレクトの幅は1〜64の整数リテラルで指定してください（v0.16.0時点の制限）
part-select width on a scalar bit (width 1) must be 1	スカラーbit（幅1）へのパートセレクト幅は1のみ有効です
pointer '{0}' may be null	ポインタ '{0}' がnullである可能性があります
pointer casts from void* are not available on the JS target	JSターゲットでは void* からのポインタキャストは使用できません
pointer type mismatch: '{0}' and '{1}'	ポインタ型が一致しません: '{0}' と '{1}'
preprocessor error: 	プリプロセッサエラー: 
process control	プロセス制御
program exit code: 	プログラム終了コード: 
raw pointers in structs may cause ownership issues	構造体内の生ポインタは所有権の問題を引き起こす可能性があります
rebuild with -DCM_USE_LLVM=ON in CMake\n	CMakeで -DCM_USE_LLVM=ON を指定してビルドしてください。\n
recursion depth exceeded the limit (500)	再帰深度が制限(500)を超えました
recursive type instantiation is not supported: '{0}'	再帰的な型のインスタンス化はサポートされていません: '{0}'
required block '	必須ブロック '
returning a pointer to local variable '{0}'	ローカル変数 '{0}' へのポインタを返しています
returning a raw pointer; ownership may become unclear	生ポインタを返しています。所有権が不明確になる可能性があります
run 'cm help' for usage\n	'cm help' でヘルプを表示\n
running: 	実行中: 
running: node 	実行中: node 
snake_case or UPPER_SNAKE_CASE	snake_case または UPPER_SNAKE_CASE
step must be used as step(cycle_count)	step は step(クロック数) の形式で使用します
struct name	構造体名
syntax errors occurred\n	構文エラーが発生しました\n
the -o option requires an output file name	-o オプションには出力ファイル名が必要です
the argument to step must be an integer type (cycle count)	step の引数は整数型（クロック数）である必要があります
the base of a part-select must be an integer type	パートセレクトの基点は整数型である必要があります
the exit code for exit must be an integer type	exit の終了コードは整数型である必要があります
the loop can be optimized with for-in	ループを for-in で最適化できます
the main function cannot be exported	main関数はエクスポートできません
the result of the match expression is unused	match式の結果が使用されていません
the target type '	'is' の対象型 '
the upper bit of the bit slice exceeds the type width	ビットスライスの上位ビットが型の幅を超えています
the void* type is not available on the JS target (variable: 	JSターゲットでは void* 型は使用できません（変数: 
this match arm is unreachable	このmatchアームには到達できません
threading	スレッド
to run a file, use: 	ファイルを実行するには次を使用してください: 
tokens: 	トークン数: 
too many errors; aborting compilation	エラーが多すぎるためコンパイルを中断します
total size: 	合計サイズ: 
trailing whitespace at end of line	行末に不要な空白があります
type '{0}' can be written more simply as '{1}'	型 '{0}' はより簡潔に '{1}' と書けます
type '{0}' is not defined	型 '{0}' は定義されていません
type alias name	型エイリアス名
type annotation '{0}' can be inferred	型注釈 '{0}' は推論可能です
type check: OK\n\n	型チェック: OK\n\n
type constraint not satisfied: '{0}' does not implement '{1}'	型制約を満たしていません: '{0}' は '{1}' を実装していません
type mismatch: '{0}' and '{1}'	型が一致しません: '{0}' と '{1}'
type parameter '{0}' is unused	型パラメータ '{0}' は使用されていません
type parameter count mismatch: '{0}' requires {1} type parameter(s)	型パラメータの数が一致しません: '{0}' は {1} 個の型パラメータを必要とします
type parameter name	型パラメータ名
type pattern '	型パターン '
type patterns can only be used in match on union types (target type: 	型パターンはユニオン型のmatchでのみ使用できます（対象の型: 
typedef requires a valid type	typedefには有効な型が必要です
unexpected token '{0}'	予期しないトークン '{0}'
unknown	不明
unknown cache subcommand: 	不明なcacheサブコマンド: 
unknown command: 	不明なコマンド: 
unknown option: 	不明なオプション: 
unmatched closing brace: '{0}'	対応する閉じ括弧がありません: '{0}'
usage: cm cache clear | cm cache stats\n	使用法: cm cache clear | cm cache stats\n
use '->' for access through pointers	ポインタ経由のアクセスには '->' を使用してください
use '->' for field access on pointer types	ポインタ型に対するフィールドアクセスには '->' を使用してください
variable	変数
variable '{0}' can be const	変数 '{0}' は const にできます
variable '{0}' is not defined	変数 '{0}' は定義されていません
variable '{0}' is unused	変数 '{0}' は使用されていません
variable '{0}' is used after move	move後の変数 '{0}' を使用しています
variable '{0}' shadows a variable in an outer scope	変数 '{0}' は外側のスコープの変数を隠蔽しています
variable name	変数名
warning(s)	警告
warning: SV target: function '	警告: SVターゲット: 関数 '
warning: cannot write memfile: 	警告: memfileを書き出せません: 
warning: invalid language in .cmconfig.yml (expected en or ja): 	警告: .cmconfig.yml の言語設定が不正です（en または ja）: 
warning: port '	警告: ポート '
warning: this file targets platform '	警告: このファイルはプラットフォーム '
wildcard pattern '_' captures all cases	ワイルドカードパターン '_' がすべてのケースを捕捉しています
⚡ per-module incremental compilation: 	⚡ モジュール別差分コンパイル: 
✓ JIT cache hit (	✓ JITキャッシュヒット (
✓ JIT execution complete	✓ JIT実行完了
✓ JavaScript code generation complete: 	✓ JavaScript コード生成完了: 
✓ SV test passed\n	✓ SVテスト成功\n
✓ SystemVerilog generation complete: 	✓ SystemVerilog 生成完了: 
✓ cache cleared: 	✓ キャッシュを削除しました: 
✓ cache hit: 	✓ キャッシュヒット: 
✓ cache saved: 	✓ キャッシュ保存完了: 
✓ compilation complete: 	✓ コンパイル完了: 
✓ concatenated 	✓ サブモジュール 
✓ lint complete\n	✓ Lint完了\n
✓ no formatting needed\n	✓ 整形不要\n
✓ pin constraints generated: 	✓ ピン制約生成: 
✓ project script generated: 	✓ プロジェクトスクリプト生成: 
✓ syntax and type check passed\n	✓ 構文と型チェックが成功しました\n
